,id,car_from,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText_heading,trendingText_desc,id,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Accessory Power Outlet,Active Noise Cancellation,Adjustable Head Lights,Adjustable Headrest,Adjustable Seats,Adjustable Steering,Air Conditioner,Air Quality Control,Alloy Wheels,Android Auto,Anti Lock Braking System,Anti Pinch Power Windows,Anti Theft Alarm,Anti Theft Device,Apple Car Play,Audio System Remote Control,Automatic Driving Lights,Automatic Head Lamps,Battery Saver,Blind Spot Monitor,Bluetooth,Brake Assist,Cassette Player,Cd Changer,Cd Player,Centeral Locking,Centrally Mounted Fuel Tank,Child Safety Locks,Chrome Garnish,Chrome Grille,Cigarette Lighter,Clutch Lock,Compass,Cornering Foglamps,Cornering Headlamps,Crash Sensor,Cruise Control,Cup Holders Front,Cup Holders Rear,Day Night Rear View Mirror,Digital Clock,Digital Odometer,Door Ajar Warning,Drive Modes,Driver Air Bag,Driving Experience Control Eco,Dual Tone Body Colour,Dual Tone Dashboard,Dvd Player,Ebd,Electric Folding Rear View Mirror,Electronic Multi Tripmeter,Eletronic Stability Control,Engine Check Warning,Engine Immobilizer,Engine Start Stop Button,Fabric Upholstery,Find My Car Location,Fog Lights Front,Fog Lights Rear,Follow Me Home Headlamps,Front Impact Beams,Gear Shift Indicator,Geo Fence Alert,Glove Box Cooling,Glove Compartment,Halogen Headlamps,Hands Free Tailgate,Heads Up Display,Heated Wing Mirror,Heater,Height Adjustable Driver Seat,Height Adjustable Front Seat Belts,Hill Assist,Hill Descent Control,Impact Sensing Auto Door Lock,Integrated Antenna,Integrated2Din Audio,Internal Storage,Isofix Child Seat Mounts,Keyless Entry,Knee Airbags,LEDDRLs,LEDFog Lamps,LEDHeadlights,LEDTaillights,Lane Change Indicator,Lane Watch Camera,Leather Seats,Leather Steering Wheel,Leather Wrap Gear Shift Selector,Low Fuel Warning Light,Luggage Hook And Net,Manually Adjustable Exterior Rear View Mirror,Mirror Link,Moon Roof,Multifunction Steering Wheel,Navigation System,No Of Airbags,Number Of Speaker,Outside Rear View Mirror Turn Indicators,Outside Temperature Display,Passenger Air Bag,Passenger Side Rear View Mirror,Power Adjustable Exterior Rear View Mirror,Power Antenna,Power Boot,Power Door Locks,Power Folding3rd Row Seat,Power Steering,Power Windows Front,Power Windows Rear,Pretensioners And Force Limiter Seatbelts,Projector Headlamps,Radio,Rain Sensing Wiper,Real Time Vehicle Tracking,Rear ACVents,Rear Camera,Rear Entertainment System,Rear Folding Table,Rear Reading Lamp,Rear Seat Belts,Rear Seat Centre Arm Rest,Rear Seat Headrest,Rear Spoiler,Rear Window Defogger,Rear Window Washer,Rear Window Wiper,Remote Climate Control,Remote Engine Start Stop,Remote Fuel Lid Opener,Remote Horn Light Control,Remote Trunk Opener,Removable Convertible Top,Roof Carrier,Roof Rail,Seat Belt Warning,Seat Lumbar Support,Side Air Bag Front,Side Air Bag Rear,Side Impact Beams,Side Stepper,Smart Access Card Entry,Smoke Headlamps,Sos Emergency Assistance,Speakers Front,Speakers Rear,Speed Alert,Speed Sensing Auto Door Lock,Steering Mounted Tripmeter,Steering Wheel Gearshift Paddles,Sun Roof,Tachometer,Tailgate Ajar,Tinted Glass,Touch Screen,Touch Screen Size,Traction Control,Trunk Light,Tyre Pressure Monitor,Usb Auxiliary Input,Vanity Mirror,Vehicle Stability Control System,Ventilated Seats,View360Camera,Voice Control,Wheel Covers,Wifi Connectivity,Wireless Phone Charging,Xenon Headlamps,id,Acceleration,Alloy Wheel Size,BoreX Stroke,Cargo Volumn,Color,Compression Ratio,Displacement,Drive Type,Engine,Engine Type,Front Brake Type,Front Tread,Fuel Suppy System,Gear Box,Gross Weight,Ground Clearance Unladen,Height,Kerb Weight,Length,Max Power,Max Torque,Mileage,No Door Numbers,No of Cylinder,Rear Brake Type,Rear Tread,Seating Capacity,Seats,Steering Type,Super Charger,Top Speed,Torque,Turbo Charger,Turning Radius,Tyre Type,Value Configuration,Values per Cylinder,Wheel Base,Wheel Size,Width,d,id
0,0,hyderabad,0,Petrol,Hatchback,"20,000",Automatic,1,1st Owner,Volkswagen,Volkswagen Polo,2022,7746,1.0 TSI Highline Plus AT,₹ 10.44 Lakh,,,,Trending Car!,High chances of sale in next 6 days,0,2022,Third Party insurance,Petrol,5 Seats,"20,000 Kms",TS04,First Owner,999 cc,Automatic,2022.0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,R16,74.5x76.4 mm,280,Others,10.5:1,999,FWD,999 CC,1.0L TSI Petrol,Disc,1457mm,TSI,6 Speed,1570,,1469mm,1106,3971mm,108.62bhp,175nm@1750-4000rpm,16.47 kmpl,5,3.0,Drum,1500mm,5,5,Electronic,No,,175nm,Yes,4.9,"Tubeless,Radial",DOHC,4.0,2470mm,R16,1682mm,,0
1,1,hyderabad,0,Petrol,Hatchback,"85,582",Manual,2,2nd Owner,Hyundai,Hyundai EON,2014,1502,Era Plus,₹ 2.60 Lakh,,,,Trending Car!,High chances of sale in next 6 days,1,Oct 2014,Third Party insurance,Petrol,5 Seats,"85,582 Kms",TS09,Second Owner,814 cc,Manual,2014.0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19 Seconds,,,215-litres,Red,,814,FWD,814 CC,Petrol Engine,Disc,1386mm,MPFI,5 Speed,,,1500mm,880,3495mm,55.2bhp,74.5Nm@4000rpm,21.1 kmpl,5,3.0,Drum,1368mm,5,5,Power,No,135 Kmph,74.5Nm,No,4.6 metres,Tubeless,SOHC,3.0,2380mm,,1550mm,,1
2,2,hyderabad,0,Petrol,SUV,"10,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,2023,9153,S BSVI,₹ 9.55 Lakh,,,,Trending Car!,High chances of sale in next 6 days,2,2023,Third Party insurance,Petrol,5 Seats,"10,000 Kms",First Owner,1197 cc,Manual,2023,,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,2,,,,,Others,,1197,,1197 CC,1.2 Kappa Petrol,Disc,,,5-Speed,,,1617mm,1106,3995mm,81.80bhp,113.8Nm@4000rpm,,5,4.0,Drum,,5,5,Power,,,113.8Nm,No,,"Tubeless, Radial",,4.0,2500mm,,1770mm,,2
3,3,hyderabad,0,Petrol,Hatchback,"50,750",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,₹ 6.71 Lakh,,,,Trending Car!,High chances of sale in next 6 days,3,Mar 2017,Third Party insurance,Petrol,5 Seats,"50,750 Kms",TS07,First Owner,1197 cc,Manual,2017.0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,3,12.36 seconds,16,,339-litres,Red,,1197,FWD,1197 CC,VVT Petrol Engine,Disc,1505mm,MPFI,5 Speed,1340kg,,1510mm,890Kg,3995mm,83.1bhp,115Nm@4000rpm,21.4 kmpl,5,4.0,Drum,1515mm,5,5,Power,No,180 Kmph,115Nm,No,4.9 meters,"Tubeless,Radial",DOHC,4.0,2520mm,16,1745mm,,3
4,4,hyderabad,0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Mahindra,Mahindra Thar,2022,8074,LX 4-Str Hard Top AT BSVI,₹ 19 Lakh,,,,Trending Car!,High chances of sale in next 6 days,4,2022,Third Party insurance,Petrol,4 Seats,"10,000 Kms",First Owner,1997 cc,Automatic,2022,,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,4,,18,,,Others,,1997,4X4,1997 CC,mStallion 150 TGDi Engine,Disc,1520mm,,6 Speed,,,1844mm,1825,3985mm,150bhp,320Nm@1500-3000rpm,,3,4.0,Drum,1520mm,4,4,Power,,,320Nm,Yes,,"Radial, Tubeless",,4.0,2450mm,18,1855mm,,4
5,5,hyderabad,0,Petrol,SUV,"10,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8008,HTX Plus Turbo iMT BSVI,₹ 11.78 Lakh,,,,Trending Car!,High chances of sale in next 6 days,5,2021,Third Party insurance,Petrol,5 Seats,"10,000 Kms",TS09,First Owner,998 cc,Manual,2021.0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,5,,16,,392,White,,998,FWD,998 CC,Smartstream G1.0 T - GDi,Disc,,GDi,6-Speed iMT,,,1642,1232,3995mm,118.36bhp,172Nm@1500-4000rpm,18.2 kmpl,5,3.0,Drum,,5,5,Electric,,,172Nm,Yes,,"Tubeless, Radial",,4.0,2500,16,1790,,5
6,6,hyderabad,0,Petrol,Hatchback,"66,366",Automatic,1,1st Owner,Maruti,Maruti Celerio,2017,6054,ZXI Optional AMT BSIV,₹ 4.89 Lakh,,,,Trending Car!,High chances of sale in next 6 days,6,May 2017,Zero Dep,Petrol,5 Seats,"66,366 Kms",TS07,First Owner,998 cc,Automatic,2017.0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,6,15.05 Seconds,,73 X 82 mm,235-litres,White,11.0:1,998,FWD,998 CC,K10B Engine,Ventilated Disc,1420mm,MPFi,5 Speed,1250kg,,1560mm,850kg,3695mm,67.04bhp,90Nm@3500rpm,23.1 kmpl,5,3.0,Drum,1410mm,5,5,Power,No,150 Kmph,90Nm,No,4.7 metres,"Tubeless, Radial",DOHC,4.0,2425mm,,1600mm,,6
7,7,hyderabad,0,Petrol,Sedan,"5,000",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2022,7733,SX Opt Turbo,₹ 15.41 Lakh,,,,Trending Car!,High chances of sale in next 6 days,7,2022,Third Party insurance,Petrol,5 Seats,"5,000 Kms",First Owner,998 cc,Automatic,2022,,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,7,,16,,,Black,,998,,998 CC,1.0 l Kappa turbo GDi petrol,Disc,,GDi,7 Speed DCT,,,1475mm,1260,4440mm,118.41bhp,172Nm@1500-4000rpm,19.2 kmpl,4,3.0,Disc,,5,5,Electric,,,172Nm,Yes,,"Tubeless, Radial",DOHC with TIS,4.0,2600mm,16,1729mm,,7
8,8,hyderabad,0,Petrol,Hatchback,"72,544",Manual,1,1st Owner,Maruti,Maruti Celerio,2017,3983,ZXI Optional,₹ 4.65 Lakh,,,,Trending Car!,High chances of sale in next 6 days,8,Jun 2017,Third Party,Petrol,5 Seats,"72,544 Kms",TS07,First Owner,998 cc,Manual,2017.0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,15.05 Seconds,14,73 X 82 mm,235-litres,White,11.0:1,998,FWD,998 CC,K10B Engine,Ventilated Disc,1420mm,MPFi,5 Speed ,1250kg,,1565mm,850kg,3715mm,67.04bhp,90Nm@3500rpm,23.1 kmpl,5,3.0,Drum,1410mm,5,5,Power,No,150 Kmph,90Nm,No,4.7 metres,"Tubeless, Radial",DOHC,4.0,2425mm,14,1635mm,,8
9,9,hyderabad,0,Petrol,Hatchback,"29,154",Manual,1,1st Owner,Ford,Ford Figo,2021,7594,Titanium,₹ 7.28 Lakh,,,,Trending Car!,High chances of sale in next 6 days,9,Jun 2021,Third Party,Petrol,5 Seats,"29,154 Kms",TS09,First Owner,1194 cc,Manual,2021.0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,9,,R15,,,Maroon,,1194,FWD,1194 CC,Ti-VCT Petrol Engine,Ventilated Disc,,Direct Injection,5 Speed,,,1525 mm,1016-1033kg,3941 mm,94.93bhp,119Nm@4250rpm,18.5 kmpl,5,3.0,Drum,,5,5,Electric,No,,119Nm,No,4.9,Tubeless,DOHC,4.0,2490 mm,R15,1704 mm,,9
